
clip9_Anamika_JayaBahaduri	022.jpg	JayaBhaduri_1.jpg	1092	194	254	306	Anamika	1973	JayaBhaduri	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	022.jpg	JayaBhaduri_1.jpg	1092	194	254	306	Anamika	1973	JayaBhaduri	FEMALE	NEUTRAL	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	124.jpg	JayaBhaduri_11.jpg	512	516	172	274	Anamika	1973	JayaBhaduri	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	152.jpg	JayaBhaduri_12.jpg	576	426	182	284	Anamika	1973	JayaBhaduri	FEMALE	SURPRISE	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	164.jpg	JayaBhaduri_13.jpg	638	382	144	222	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	OTHERS	MEDIUM	YOUNG	RIGHT	PARTIAL
clip9_Anamika_JayaBahaduri	184.jpg	JayaBhaduri_15.jpg	888	374	354	444	Anamika	1973	JayaBhaduri	FEMALE	HAPPINESS	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip9_Anamika_JayaBahaduri	187.jpg	JayaBhaduri_16.jpg	952	376	328	462	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	034.jpg	JayaBhaduri_2.jpg	1132	426	310	268	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	UP	PARTIAL
clip9_Anamika_JayaBahaduri	196.jpg	JayaBhaduri_20.jpg	1190	416	244	400	Anamika	1973	JayaBhaduri	FEMALE	SADNESS	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	207.jpg	JayaBhaduri_24.jpg	838	340	324	466	Anamika	1973	JayaBhaduri	FEMALE	SADNESS	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip9_Anamika_JayaBahaduri	211.jpg	JayaBhaduri_25.jpg	790	328	326	476	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip9_Anamika_JayaBahaduri	213.jpg	JayaBhaduri_26.jpg	744	316	336	424	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	FRONTAL	PARTIAL
clip9_Anamika_JayaBahaduri	215.jpg	JayaBhaduri_27.jpg	814	556	346	480	Anamika	1973	JayaBhaduri	FEMALE	ANGER	NONE	BAD	YOUNG	FRONTAL	PARTIAL
clip9_Anamika_JayaBahaduri	216.jpg	JayaBhaduri_28.jpg	516	348	290	414	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	221.jpg	JayaBhaduri_29.jpg	550	498	296	426	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
clip9_Anamika_JayaBahaduri	039.jpg	JayaBhaduri_3.jpg	1176	572	306	316	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	OTHERS	MEDIUM	YOUNG	RIGHT	PARTIAL
clip9_Anamika_JayaBahaduri	224.jpg	JayaBhaduri_30.jpg	486	520	362	486	Anamika	1973	JayaBhaduri	FEMALE	DISGUST	NONE	MEDIUM	YOUNG	LEFT	PARTIAL
